,,,,,,,,,,
,2934,7265,0,310,14,66,8869,17140,11756,22924
,0,0,0,0,28,58,64,76,102,104
,3020,6976,0,0,0,0,6313,14451,8354,19316
,0,0,0,0,17,14,106,312,131,414
,0,0,0,0,28,17,1271,1218,1559,1508
,0,0,0,0,11,10,29,20,54,38
,44,48,0,0,31,20,2252,1983,2915,2673
,4,28,0,0,0,0,156,162,206,222
,0,16,0,0,47,42,604,592,772,765
,0,0,0,0,32,23,2009,1336,2530,1709
,1971,4584,8,0,11,5,4958,10585,6647,14300
,3912,9175,0,12,0,0,4960,11208,6609,14949
,0,0,0,0,101,18,456,251,482,263
,0,0,0,0,73,71,461,290,489,331
,0,400,0,212,4,36,524,1410,670,1845
,0,0,0,0,16,14,513,484,647,641
,0,6,0,0,24,36,521,780,662,1069
,0,16,0,0,15,11,815,805,1034,979
,12,0,0,0,58,44,567,452,767,594
,0,0,0,0,10,10,991,962,1316,1318
,20,20,0,0,4,3,646,685,860,935
,30,45,0,0,82,86,1323,1572,1714,1977
,0,0,0,0,26,27,128,104,153,132
,0,0,0,0,135,127,588,451,729,579
,0,0,0,0,13,10,528,742,744,996
,0,0,0,0,12,9,215,225,389,485
,86,112,0,0,38,42,1576,1510,2088,1976
,0,0,0,0,7,4,87,75,111,107
,0,0,0,0,42,49,711,1002,916,1307
,2986,6902,48,24,1,1,6353,14847,8477,19936
,0,0,0,0,1,1,0,0,0,0
,0,0,0,0,36,16,484,202,734,300
,0,0,0,0,14,16,742,644,1116,959
,978,2290,0,0,0,0,4770,10911,5326,12222
,3927,9212,12,36,22,19,6872,12967,9149,17304
,28,14,0,0,21,14,1871,2018,2508,2714
,978,2306,0,0,23,25,4662,10753,5189,12030
,2045,5017,28,173,0,0,5585,12856,7750,18044
,116,32,4,0,98,58,3728,2377,4823,3049
,0,0,0,0,77,67,876,607,1162,802
,86,106,0,0,6,1,248,289,348,409
,94,80,0,0,258,170,2868,2455,3572,3161
,0,0,0,0,28,29,108,116,159,152
,16,0,0,0,180,165,1195,1229,1560,1605
,279,65,4,4,38,31,3641,3456,4631,4420
,0,0,0,0,3,1,496,495,793,748
,150,159,0,0,125,70,1041,753,1434,1057
,0,0,0,0,19,16,578,974,785,1255
,0,223,0,65,25,35,468,1017,490,1229
,2960,6900,20,32,173,161,7008,13279,9823,18536
,0,0,0,0,51,53,399,346,529,447
,3927,9177,9,12,83,97,7380,16135,9825,21654
,0,0,0,0,14,21,129,155,172,197
,0,0,0,0,25,23,0,0,0,0
,84,0,0,0,108,104,1437,1321,1931,1777
,0,0,0,0,32,35,154,104,238,148
,2934,6870,0,0,6,0,6428,11586,8711,16171
,48,6,0,0,17,11,1924,1551,2570,2050
,0,0,0,0,17,11,862,749,1160,1001
,2934,6899,0,31,0,5,6246,14325,8295,19155
,0,0,0,0,53,41,538,532,716,730
,0,0,0,0,9,6,138,99,194,140
,0,0,0,0,158,175,80,81,106,118
,4,0,0,0,79,58,583,707,707,877
,856,1156,179,289,66,21,5294,5411,6745,7138
,0,0,0,0,54,30,1134,1074,1516,1412
,7824,18332,0,4,0,2,12122,28254,16202,37957
,0,0,0,0,52,49,300,317,363,389
,0,0,0,0,39,42,743,1062,989,1463
